username,firstname,lastname,email,sysrole1,cohort1,userclass1,usersection1,course1
exampleuser,exampleuser,.,exampleuser@example.com,student,diamond,G1,A,DPL01diamond
exampleteacher,exampleteacher,.,exampleteacher@myqubit.co,editingteacher,diamond,G1,A,DPL01diamond
exampleuser,exampleuser,.,exampleuser@example.com,student,diamond,G2,A,DPL02diamond
exampleteacher,exampleteacher,.,exampleteacher@myqubit.co,editingteacher,diamond,G2,A,DPL02diamond
exampleuser,exampleuser,.,exampleuser@example.com,student,diamond,G3,A,DPL03diamond
exampleteacher,exampleteacher,.,exampleteacher@myqubit.co,editingteacher,diamonddiamond,G3,A,DPL03diamond
exampleuser,exampleuser,.,exampleuser@example.com,student,diamond,G4,A,DPL04diamond
exampleteacher,exampleteacher,.,exampleteacher@myqubit.co,editingteacher,diamond,G4,A,DPL04diamond
exampleuser,exampleuser,.,exampleuser@example.com,student,diamond,G5,A,DPL05diamond
exampleteacher,exampleteacher,.,exampleteacher@myqubit.co,editingteacher,diamond,G5,A,DPL05diamond
exampleuser,exampleuser,.,exampleuser@example.com,student,diamond,G6,A,DPL06diamond
exampleteacher,exampleteacher,.,exampleteacher@myqubit.co,editingteacher,diamond,G6,A,DPL06diamond
exampleuser,exampleuser,.,exampleuser@example.com,student,diamond,G7,A,DPL07diamond
exampleteacher,exampleteacher,.,exampleteacher@myqubit.co,editingteacher,diamond,G7,A,DPL07diamond
exampleuser,exampleuser,.,exampleuser@example.com,student,diamond,G8,A,DPL08diamond
exampleteacher,exampleteacher,.,exampleteacher@myqubit.co,editingteacher,diamond,G8,A,DPL08diamond
exampleuser,exampleuser,.,exampleuser@example.com,student,diamond,G9,A,DPL09diamond
exampleteacher,exampleteacher,.,exampleteacher@myqubit.co,editingteacher,diamond,G9,A,DPL09diamond
